batter_id,pitcher_id,ab,h,hr,rbi,k,bb,avg,ops
665487,678022,1,1,0,0,0,0,1.000,2.000
665487,663372,10,4,0,0,5,0,.400,.800
665487,666200,12,6,0,3,2,3,.500,1.267
665487,680736,2,0,0,0,0,1,.000,.333
665487,663436,3,1,0,0,0,0,.333,.666
665487,656550,4,0,0,0,2,0,.000,.000
665487,669467,2,0,0,0,2,4,.000,.667
665487,650633,1,0,0,0,1,0,.000,.000
665487,677958,3,1,0,0,1,0,.333,1.333
665487,663969,1,0,0,0,0,0,.000,.000
665487,543037,2,0,0,0,1,1,.000,.333
665487,805673,3,1,0,0,0,0,.333,.666
665487,518876,31,11,4,6,11,3,.355,1.186
665487,686613,6,1,0,0,2,0,.167,.334
665487,656605,8,1,0,0,2,2,.125,.489
657757,678022,1,1,0,2,0,0,1.000,2.000
665487,656492,3,2,1,1,1,0,.667,2.334
665487,665795,6,0,0,0,3,0,.000,.000
665487,608379,8,3,1,2,1,1,.375,1.444
665487,663903,6,2,0,1,1,0,.333,.666
665487,605288,12,1,0,0,2,3,.083,.350
657757,656550,3,0,0,0,0,0,.000,.000
665487,669302,9,1,0,1,2,0,.111,.333
665487,677944,7,5,1,3,2,0,.714,2.000
657757,663372,2,0,0,0,1,0,.000,.000
657757,663436,2,0,0,1,0,1,.000,.333
665487,664285,12,2,0,2,4,2,.167,.619
657757,680736,3,1,0,0,0,0,.333,.666
657757,686613,9,3,0,1,1,0,.333,.666
657757,543037,6,3,1,2,1,0,.500,1.500
657757,518876,8,3,1,3,0,1,.375,1.194
657757,663969,1,0,0,0,0,0,.000,.000
657757,650633,2,0,0,0,1,0,.000,.000
657757,805673,3,3,0,0,0,0,1.000,2.333
657757,665795,6,1,0,0,0,0,.167,.542
657757,677958,2,0,0,0,0,0,.000,.000
657757,663903,29,4,2,6,7,0,.138,.483
657757,656605,10,3,1,2,1,1,.300,1.064
657757,664285,2,1,0,1,0,0,.500,1.000
657757,688107,2,1,1,2,1,0,.500,2.500
657757,605288,6,3,1,2,0,0,.500,1.833
657757,669302,13,4,1,1,6,1,.308,1.049
701538,666200,3,0,0,0,3,0,.000,.000
701538,656550,3,2,0,0,0,0,.667,1.667
657757,656492,2,0,0,0,1,1,.000,.333
701538,663436,3,1,0,0,0,0,.333,1.000
657757,608379,14,1,1,1,1,0,.071,.357
657757,656876,6,1,0,1,2,0,.167,.476
701538,669467,4,0,0,0,1,2,.000,.333
701538,663372,5,1,0,2,2,1,.200,.533
701538,663969,2,0,0,0,0,0,.000,.000
