player_id,name,team_id,l7_ab,l7_h,l7_hr,l7_rbi,l7_k,l7_bb,l7_avg,l7_ops,l14_ab,l14_h,l14_hr,l14_avg,l14_ops,sea_ab,sea_h,sea_hr,sea_avg,sea_ops,l5_hr,l10_hr,l5_h,l10_h,l10_tb,l5_tb,sea_k_pct,l14_k_pct,l15_k_pct,sea_k,sea_pa
693304,Nick Gonzales,134,22,7,0,0,8,4,0.318,0.741,49,14,1,0.286,0.728,292,86,3,0.295,0.71,0,1,3,10,15,3,0.192,0.264,0.263,60,312
695257,Billy Cook,134,1,0,0,0,0,0,0.0,0.0,5,0,0,0.0,0.0,26,4,0,0.154,0.308,0,0,0,0,0,0,0.423,0.6,0.6,11,26
668804,Bryan Reynolds,134,26,7,0,1,8,7,0.269,0.77,52,20,4,0.385,1.196,305,87,11,0.285,0.868,0,1,4,11,17,5,0.219,0.21,0.212,79,361
804606,Konnor Griffin,134,31,11,2,3,7,1,0.355,0.988,57,18,2,0.316,0.824,203,56,5,0.276,0.742,1,2,9,11,19,14,0.267,0.217,0.219,58,217
680779,Henry Davis,134,15,4,1,2,3,0,0.267,0.867,33,6,2,0.182,0.674,141,21,6,0.149,0.538,1,1,3,4,9,7,0.219,0.306,0.3,34,155
682997,Tyler Callihan,134,21,4,1,7,9,1,0.19,0.656,41,9,1,0.22,0.597,57,14,3,0.246,0.847,1,1,3,4,9,8,0.323,0.372,0.413,21,65
664040,Brandon Lowe,134,30,6,2,8,11,1,0.2,0.659,60,13,3,0.217,0.671,309,74,20,0.239,0.817,2,2,3,10,19,9,0.268,0.349,0.338,92,343
663968,Jake Mangum,134,29,7,0,1,9,1,0.241,0.543,54,16,0,0.296,0.661,189,56,1,0.296,0.689,0,0,5,11,14,6,0.19,0.2,0.203,38,200
663728,Cal Raleigh,136,25,5,1,3,9,5,0.2,0.693,47,8,1,0.17,0.583,204,34,8,0.167,0.579,0,1,3,6,10,4,0.313,0.31,0.302,73,233
656811,Ryan O'Hearn,134,31,12,2,10,6,1,0.387,1.083,62,19,3,0.306,0.849,264,76,13,0.288,0.817,2,2,7,12,21,13,0.225,0.222,0.224,64,285
