date,pick,bet_type,away_team,home_team,line,result,pnl,score
2026-06-01,Mariners,Team Win,New York Mets,Seattle Mariners,ML,,,57.1
2026-06-01,White Sox,Team Win,Chicago White Sox,Minnesota Twins,ML,,,51.4
2026-06-01,Angels,Team Win,Colorado Rockies,Los Angeles Angels,ML,,,51.2
2026-06-01,Lyon Richardson,K Prop,Kansas City Royals,Cincinnati Reds,Over,,,
2026-06-01,Emmet Sheehan,K Prop,Los Angeles Dodgers,Arizona Diamondbacks,Over,,,133.4
2026-06-01,Juan Soto,HR Prop,New York Mets,Seattle Mariners,HR,,,110.0
2026-06-01,Andy Pages,HR Prop,Los Angeles Dodgers,Arizona Diamondbacks,HR,,,73.5
2026-06-02,Yankees,Team Win,Cleveland Guardians,New York Yankees,ML,,,54.8
2026-06-02,Brewers,Team Win,San Francisco Giants,Milwaukee Brewers,ML,,,53.9
2026-06-02,Braves,Team Win,Toronto Blue Jays,Atlanta Braves,ML,,,53.0
2026-06-02,Davis Martin,K Prop,Chicago White Sox,Minnesota Twins,Over,,,148.9
2026-06-02,Cam Schlittler,K Prop,Cleveland Guardians,New York Yankees,Over,,,144.3
2026-06-02,Miguel Vargas,HR Prop,Chicago White Sox,Minnesota Twins,HR,,,107.0
2026-06-02,Dillon Dingler,HR Prop,Detroit Tigers,Tampa Bay Rays,HR,,,99.5
2026-06-03,Dodgers,Team Win,Los Angeles Dodgers,Arizona Diamondbacks,ML,,,61.4
2026-06-03,Pirates,Team Win,Pittsburgh Pirates,Houston Astros,ML,,,53.9
2026-06-03,Angels,Team Win,Colorado Rockies,Los Angeles Angels,ML,,,49.7
2026-06-03,Cristopher Sánchez,K Prop,San Diego Padres,Philadelphia Phillies,Over,,,153.8
2026-06-03,Paul Skenes,K Prop,Pittsburgh Pirates,Houston Astros,Over,,,138.4
2026-06-03,Dillon Dingler,HR Prop,Detroit Tigers,Tampa Bay Rays,HR,,,116.0
2026-06-03,Julio Rodríguez,HR Prop,New York Mets,Seattle Mariners,HR,,,100.0
2026-06-04,Dodgers,Team Win,Los Angeles Dodgers,Arizona Diamondbacks,ML,,,59.2
2026-06-04,Brewers,Team Win,San Francisco Giants,Milwaukee Brewers,ML,,,57.8
2026-06-04,Braves,Team Win,Toronto Blue Jays,Atlanta Braves,ML,,,53.7
2026-06-04,Chris Sale,K Prop,Toronto Blue Jays,Atlanta Braves,Over,,,141.1
2026-06-04,J.T. Ginn,K Prop,Athletics,Chicago Cubs,Over,,,121.5
2026-06-04,Yordan Alvarez,HR Prop,Pittsburgh Pirates,Houston Astros,HR,,,98.0
2026-06-04,Oneil Cruz,HR Prop,Pittsburgh Pirates,Houston Astros,HR,,,95.5
2026-06-05,Braves,Team Win,Pittsburgh Pirates,Atlanta Braves,ML,,,53.3
2026-06-05,Blue Jays,Team Win,Baltimore Orioles,Toronto Blue Jays,ML,,,51.5
2026-06-05,Rangers,Team Win,Cleveland Guardians,Texas Rangers,ML,,,47.8
2026-06-05,Bryan Woo,K Prop,Seattle Mariners,Detroit Tigers,Over,,,139.1
2026-06-05,Ryan Weathers,K Prop,Boston Red Sox,New York Yankees,Over,,,136.1
2026-06-05,Dillon Dingler,HR Prop,Seattle Mariners,Detroit Tigers,HR,,,116.0
2026-06-05,Shea Langeliers,HR Prop,Athletics,Houston Astros,HR,,,98.0
2026-06-06,Dodgers,Team Win,Los Angeles Angels,Los Angeles Dodgers,ML,,,63.6
2026-06-06,Brewers,Team Win,Milwaukee Brewers,Colorado Rockies,ML,,,58.6
2026-06-06,D-backs,Team Win,Washington Nationals,Arizona Diamondbacks,ML,,,53.2
2026-06-06,Matthew Liberatore,K Prop,Cincinnati Reds,St. Louis Cardinals,Over,,,145.7
2026-06-06,Joe Ryan,K Prop,Kansas City Royals,Minnesota Twins,Over,,,136.9
2026-06-06,Shea Langeliers,HR Prop,Athletics,Houston Astros,HR,,,109.5
2026-06-06,Hunter Goodman,HR Prop,Milwaukee Brewers,Colorado Rockies,HR,,,104.0
2026-06-07,Cardinals,Team Win,Cincinnati Reds,St. Louis Cardinals,ML,,,65.2
2026-06-07,Brewers,Team Win,Milwaukee Brewers,Colorado Rockies,ML,,,60.9
2026-06-07,Braves,Team Win,Pittsburgh Pirates,Atlanta Braves,ML,,,54.8
2026-06-07,Mason Montgomery,K Prop,Pittsburgh Pirates,Atlanta Braves,Over,,,
2026-06-07,Tyler Gilbert,K Prop,Chicago White Sox,Philadelphia Phillies,Over,,,
2026-06-07,Casey Schmitt,HR Prop,San Francisco Giants,Chicago Cubs,HR,,,110.0
2026-06-07,Dillon Dingler,HR Prop,Seattle Mariners,Detroit Tigers,HR,,,106.5
2026-06-08,Brewers,Team Win,Milwaukee Brewers,Athletics,ML,,,59.1
2026-06-08,Mariners,Team Win,Seattle Mariners,Baltimore Orioles,ML,,,52.6
2026-06-08,Astros,Team Win,Houston Astros,Los Angeles Angels,ML,,,48.5
2026-06-08,Ian Seymour,K Prop,Boston Red Sox,Tampa Bay Rays,Over,,,
2026-06-08,Kyle Harrison,K Prop,Milwaukee Brewers,Athletics,Over,,,150.7
2026-06-08,Casey Schmitt,HR Prop,Washington Nationals,San Francisco Giants,HR,,,107.0
2026-06-08,Yordan Alvarez,HR Prop,Houston Astros,Los Angeles Angels,HR,,,81.0
2026-06-09,Marlins,Team Win,Arizona Diamondbacks,Miami Marlins,ML,,,55.5
2026-06-09,Pirates,Team Win,Los Angeles Dodgers,Pittsburgh Pirates,ML,,,55.0
2026-06-09,Rays,Team Win,Boston Red Sox,Tampa Bay Rays,ML,,,49.6
2026-06-09,Dylan Cease,K Prop,Philadelphia Phillies,Toronto Blue Jays,Over,,,164.8
2026-06-09,Chase Burns,K Prop,Cincinnati Reds,San Diego Padres,Over,,,144.4
2026-06-09,Hunter Goodman,HR Prop,Chicago Cubs,Colorado Rockies,HR,,,108.5
2026-06-09,Nick Kurtz,HR Prop,Milwaukee Brewers,Athletics,HR,,,104.0
2026-06-10,Braves,Team Win,Atlanta Braves,Chicago White Sox,ML,,,51.7
