pitcher_id,ERA,HR_allowed,H_allowed,K,IP,WHIP,K9,GS,H_per_G,hand,name,W,L,BB,BF,K_pct,BF_per_GS,GP,is_reliever,l5_k_pct,l5_era,bf_mean,bf_std,pit_per_bf,l5_ks,l5_bf,k_trend,team_id
682243,4.19,20,90,106,107.1,1.16,8.9,19,4.7,R,Bryce Miller,4,9,34,437,0.243,23.0,20,False,0.208,7.83,22.2,2.3,4.02,22.0,106.0,-0.035,
691725,5.54,19,123,100,115.1,1.44,7.8,21,5.9,R,Andrew Painter,3,9,43,507,0.197,24.1,23,False,0.234,3.0,23.2,2.9,4.07,29.0,124.0,0.037,
693645,1.95,16,123,228,184.2,0.9,11.1,31,4.0,R,Cam Schlittler,14,6,44,722,0.316,23.3,31,False,0.325,0.84,23.3,2.7,4.24,39.0,120.0,0.009,
680732,3.47,18,135,173,161.0,1.2,9.7,25,5.4,R,Sean Burke,9,7,58,669,0.259,26.8,30,False,0.181,3.86,22.0,2.5,3.98,19.0,105.0,-0.078,
682052,5.02,20,114,107,114.2,1.48,8.4,22,5.2,L,Jacob Lopez,6,4,56,511,0.209,23.2,25,False,0.226,4.47,23.0,2.7,4.06,26.0,115.0,0.017,
694297,3.77,14,116,84,124.0,1.17,6.1,17,6.8,R,Brandon Pfaadt,7,3,29,513,0.164,30.2,27,False,0.172,6.06,25.9,2.6,3.96,23.0,134.0,0.008,
691587,3.99,18,115,155,144.1,1.24,9.7,27,4.3,R,Eury Pérez,7,11,64,602,0.257,22.3,27,False,0.204,8.49,23.1,3.5,4.02,22.0,108.0,-0.053,
674841,3.35,5,83,99,102.0,1.27,8.7,15,5.5,L,Andrew Alvarez,2,6,47,427,0.232,28.5,23,False,0.273,2.4,21.5,2.3,4.14,30.0,110.0,0.041,
700241,3.83,20,154,112,160.0,1.24,6.3,29,5.3,R,Michael McGreevy,7,9,45,658,0.17,22.7,29,False,0.175,5.6,24.2,3.3,3.96,21.0,120.0,0.005,
500779,5.27,6,45,20,41.0,1.51,4.4,9,5.0,L,Jose Quintana,2,3,17,181,0.11,20.1,9,False,0.147,3.18,21.4,2.8,3.91,16.0,109.0,0.037,
663554,3.69,14,111,107,124.1,1.14,7.8,24,4.6,R,Casey Mize,6,9,31,510,0.21,21.2,24,False,0.136,3.93,21.7,2.9,3.89,15.0,110.0,-0.074,
696149,4.28,14,124,132,147.1,1.35,8.1,28,4.4,R,Bubba Chandler,8,9,75,636,0.208,22.7,29,False,0.222,4.62,21.5,1.5,4.05,24.0,108.0,0.014,
657746,3.84,20,126,146,133.2,1.16,9.9,25,5.0,R,Joe Ryan,6,10,29,564,0.259,22.6,25,False,0.158,8.57,23.2,2.8,3.93,18.0,114.0,-0.101,
666157,5.12,19,102,79,96.2,1.49,7.4,19,5.4,L,Nick Lodolo,3,5,42,433,0.182,22.8,19,False,0.188,7.04,22.2,2.9,3.99,22.0,117.0,0.006,
669713,3.7,4,39,38,48.2,1.13,7.1,9,4.3,R,Hayden Wesneski,5,2,16,198,0.192,22.0,9,False,0.194,2.42,22.0,3.2,4.0,20.0,103.0,0.002,
672282,3.36,18,136,199,174.0,1.05,10.3,30,4.5,L,Reid Detmers,6,8,46,697,0.286,23.2,30,False,0.271,1.45,22.3,2.9,4.14,32.0,118.0,-0.015,
669373,2.7,13,115,173,146.2,0.95,10.6,24,4.8,L,Tarik Skubal,10,7,25,572,0.302,23.8,24,False,0.302,2.23,25.1,2.3,4.19,38.0,126.0,0.0,
615698,2.9,13,89,81,108.2,1.05,6.7,14,6.4,R,Cal Quantrill,9,5,25,439,0.185,31.4,31,True,0.233,2.32,22.0,3.4,4.07,27.0,116.0,0.048,
