Date,Away,Away_R,Home,Home_R,Winner,Total_R
2026-06-30,Chicago White Sox,9,Baltimore Orioles,3,Chicago White Sox,12
2026-06-30,Texas Rangers,4,Cleveland Guardians,2,Texas Rangers,6
2026-06-30,Pittsburgh Pirates,0,Philadelphia Phillies,8,Philadelphia Phillies,8
2026-06-30,Detroit Tigers,9,New York Yankees,3,Detroit Tigers,12
2026-06-30,New York Mets,3,Toronto Blue Jays,0,New York Mets,3
2026-06-30,Washington Nationals,8,Boston Red Sox,1,Washington Nationals,9
2026-06-30,St. Louis Cardinals,5,Atlanta Braves,3,St. Louis Cardinals,8
2026-06-30,Tampa Bay Rays,10,Kansas City Royals,4,Tampa Bay Rays,14
2026-06-30,Cincinnati Reds,2,Milwaukee Brewers,7,Milwaukee Brewers,9
2026-06-30,San Diego Padres,7,Chicago Cubs,9,Chicago Cubs,16
2026-06-30,Minnesota Twins,4,Houston Astros,6,Houston Astros,10
2026-06-30,Miami Marlins,14,Colorado Rockies,3,Miami Marlins,17
2026-06-30,Los Angeles Dodgers,9,Athletics,3,Los Angeles Dodgers,12
2026-06-30,Los Angeles Angels,3,Seattle Mariners,8,Seattle Mariners,11
2026-06-30,San Francisco Giants,2,Arizona Diamondbacks,8,Arizona Diamondbacks,10
2026-07-01,Chicago White Sox,1,Baltimore Orioles,6,Baltimore Orioles,7
2026-07-01,Texas Rangers,4,Cleveland Guardians,9,Cleveland Guardians,13
2026-07-01,Washington Nationals,10,Boston Red Sox,2,Washington Nationals,12
2026-07-01,Detroit Tigers,6,New York Yankees,2,Detroit Tigers,8
2026-07-01,San Diego Padres,3,Chicago Cubs,23,Chicago Cubs,26
2026-07-01,New York Mets,3,Toronto Blue Jays,9,Toronto Blue Jays,12
2026-07-01,Pittsburgh Pirates,6,Philadelphia Phillies,10,Philadelphia Phillies,16
2026-07-01,St. Louis Cardinals,1,Atlanta Braves,5,Atlanta Braves,6
2026-07-01,Tampa Bay Rays,4,Kansas City Royals,0,Tampa Bay Rays,4
2026-07-01,Minnesota Twins,8,Houston Astros,3,Minnesota Twins,11
2026-07-01,Cincinnati Reds,2,Milwaukee Brewers,4,Milwaukee Brewers,6
2026-07-01,Miami Marlins,3,Colorado Rockies,6,Colorado Rockies,9
2026-07-01,Los Angeles Dodgers,1,Athletics,7,Athletics,8
2026-07-01,San Francisco Giants,6,Arizona Diamondbacks,4,San Francisco Giants,10
2026-07-02,Pittsburgh Pirates,6,Philadelphia Phillies,1,Pittsburgh Pirates,7
2026-07-02,Cincinnati Reds,7,Milwaukee Brewers,2,Cincinnati Reds,9
2026-07-02,Miami Marlins,4,Colorado Rockies,14,Colorado Rockies,18
2026-07-02,Chicago White Sox,5,Cleveland Guardians,6,Cleveland Guardians,11
2026-07-02,St. Louis Cardinals,11,Atlanta Braves,5,St. Louis Cardinals,16
2026-07-02,Tampa Bay Rays,5,Kansas City Royals,2,Tampa Bay Rays,7
2026-07-02,Detroit Tigers,4,Texas Rangers,10,Texas Rangers,14
2026-07-02,Los Angeles Angels,0,Seattle Mariners,1,Seattle Mariners,1
2026-07-02,San Diego Padres,7,Los Angeles Dodgers,12,Los Angeles Dodgers,19
2026-07-03,St. Louis Cardinals,17,Chicago Cubs,1,St. Louis Cardinals,18
2026-07-03,Pittsburgh Pirates,5,Washington Nationals,9,Washington Nationals,14
2026-07-03,Minnesota Twins,2,New York Yankees,5,New York Yankees,7
2026-07-03,Baltimore Orioles,3,Cincinnati Reds,0,Baltimore Orioles,3
2026-07-03,Chicago White Sox,3,Cleveland Guardians,4,Cleveland Guardians,7
2026-07-03,New York Mets,3,Atlanta Braves,5,Atlanta Braves,8
2026-07-03,San Francisco Giants,3,Colorado Rockies,15,Colorado Rockies,18
2026-07-03,Tampa Bay Rays,3,Houston Astros,1,Tampa Bay Rays,4
2026-07-03,Boston Red Sox,5,Los Angeles Angels,2,Boston Red Sox,7
2026-07-03,Miami Marlins,12,Athletics,5,Miami Marlins,17
2026-07-03,Milwaukee Brewers,7,Arizona Diamondbacks,4,Milwaukee Brewers,11
2026-07-03,San Diego Padres,3,Los Angeles Dodgers,4,Los Angeles Dodgers,7
2026-07-03,Toronto Blue Jays,2,Seattle Mariners,0,Toronto Blue Jays,2
2026-07-04,Pittsburgh Pirates,7,Washington Nationals,1,Pittsburgh Pirates,8
2026-07-04,Minnesota Twins,11,New York Yankees,4,Minnesota Twins,15
2026-07-04,Detroit Tigers,3,Texas Rangers,0,Detroit Tigers,3
2026-07-04,Toronto Blue Jays,0,Seattle Mariners,11,Seattle Mariners,11
2026-07-04,Baltimore Orioles,8,Cincinnati Reds,5,Baltimore Orioles,13
2026-07-04,Tampa Bay Rays,8,Houston Astros,10,Houston Astros,18
2026-07-04,Chicago White Sox,3,Cleveland Guardians,1,Chicago White Sox,4
2026-07-04,St. Louis Cardinals,3,Chicago Cubs,0,St. Louis Cardinals,3
2026-07-04,New York Mets,3,Atlanta Braves,14,Atlanta Braves,17
2026-07-04,San Francisco Giants,6,Colorado Rockies,4,San Francisco Giants,10
2026-07-04,Philadelphia Phillies,6,Kansas City Royals,1,Philadelphia Phillies,7
2026-07-04,Boston Red Sox,8,Los Angeles Angels,1,Boston Red Sox,9
2026-07-04,Miami Marlins,7,Athletics,2,Miami Marlins,9
2026-07-04,Milwaukee Brewers,3,Arizona Diamondbacks,4,Arizona Diamondbacks,7
2026-07-04,San Diego Padres,0,Los Angeles Dodgers,3,Los Angeles Dodgers,3
2026-07-05,New York Mets,10,Atlanta Braves,9,New York Mets,19
2026-07-05,Pittsburgh Pirates,11,Washington Nationals,5,Pittsburgh Pirates,16
2026-07-05,Baltimore Orioles,2,Cincinnati Reds,3,Cincinnati Reds,5
2026-07-05,Minnesota Twins,6,New York Yankees,1,Minnesota Twins,7
2026-07-05,Chicago White Sox,7,Cleveland Guardians,6,Chicago White Sox,13
2026-07-05,St. Louis Cardinals,4,Chicago Cubs,6,Chicago Cubs,10
2026-07-05,Philadelphia Phillies,2,Kansas City Royals,5,Kansas City Royals,7
2026-07-05,Tampa Bay Rays,0,Houston Astros,2,Houston Astros,2
2026-07-05,Detroit Tigers,6,Texas Rangers,3,Detroit Tigers,9
