date,pitcher,team,opponent,ip,actual_ks,vegas_line,over_odds,under_odds,implied_over,result
2026-06-05,Roki Sasaki,Los Angeles Dodgers,Los Angeles Angels,7.0,10,5.5,-155,+115,61,Over Hit
2026-06-05,Drew Rasmussen,Tampa Bay Rays,Miami Marlins,7.0,9,4.5,-112,-120,53,Over Hit
2026-06-05,Bryan Woo,Seattle Mariners,Detroit Tigers,6.1,7,5.5,-132,+100,57,Over Hit
2026-06-05,Mason Barnett,Athletics,Houston Astros,4.0,7,—,—,—,0,—
2026-06-05,Hunter Dobbins,St. Louis Cardinals,Cincinnati Reds,5.0,6,—,—,—,0,—
2026-06-05,Reid Detmers,Los Angeles Angels,Los Angeles Dodgers,6.0,6,5.5,+116,-152,46,Over Hit
2026-06-05,Edward Cabrera,Chicago Cubs,San Francisco Giants,3.2,6,4.5,+107,-141,48,Over Hit
2026-06-05,Jack Perkins,Athletics,Houston Astros,4.0,6,3.5,+104,-137,49,Over Hit
2026-06-05,Brady Singer,Cincinnati Reds,St. Louis Cardinals,4.0,6,3.5,-175,+128,64,Over Hit
2026-06-05,Trey Yesavage,Toronto Blue Jays,Baltimore Orioles,5.2,5,6.5,+116,-155,46,Under Hit
2026-06-05,Martín Pérez,Atlanta Braves,Pittsburgh Pirates,5.0,5,4.5,-129,-104,56,Over Hit
2026-06-05,Framber Valdez,Detroit Tigers,Seattle Mariners,5.0,5,4.5,-155,+117,61,Over Hit
2026-06-05,Kumar Rocker,Texas Rangers,Cleveland Guardians,5.0,5,3.5,-139,+105,58,Over Hit
2026-06-05,Robbie Ray,San Francisco Giants,Chicago Cubs,5.0,4,4.5,-136,+102,58,Under Hit
2026-06-05,Michael King,San Diego Padres,New York Mets,6.0,4,5.5,-112,-120,53,Under Hit
2026-06-05,Ryan Feltner,Colorado Rockies,Milwaukee Brewers,6.0,4,3.5,+102,-136,50,Over Hit
2026-06-05,Mitch Keller,Pittsburgh Pirates,Atlanta Braves,4.2,4,4.5,+106,-141,49,Under Hit
2026-06-05,Brandon Young,Baltimore Orioles,Toronto Blue Jays,6.1,4,3.5,-159,+120,61,Over Hit
2026-06-05,Ryan Weathers,New York Yankees,Boston Red Sox,6.0,4,6.5,+123,-165,45,Under Hit
2026-06-05,Anthony Kay,Chicago White Sox,Philadelphia Phillies,4.0,4,4.5,+110,-148,48,Under Hit
2026-06-05,Parker Messick,Cleveland Guardians,Texas Rangers,5.2,4,6.5,+116,-155,46,Under Hit
2026-06-05,Merrill Kelly,Arizona Diamondbacks,Washington Nationals,5.0,4,4.5,+112,-150,47,Under Hit
2026-06-05,Antonio Senzatela,Colorado Rockies,Milwaukee Brewers,1.2,4,—,—,—,0,—
2026-06-05,Foster Griffin,Washington Nationals,Arizona Diamondbacks,5.0,4,4.5,-105,-127,51,Under Hit
2026-06-05,Peter Lambert,Houston Astros,Athletics,5.1,4,4.5,-141,+106,59,Under Hit
2026-06-05,Alex Hoppe,Seattle Mariners,Detroit Tigers,1.0,3,—,—,—,0,—
2026-06-05,Adam Macko,Toronto Blue Jays,Baltimore Orioles,1.1,3,—,—,—,0,—
2026-06-05,Sonny Gray,Boston Red Sox,New York Yankees,6.1,3,5.5,-103,-130,51,Under Hit
2026-06-05,Josh Hader,Houston Astros,Athletics,1.0,3,—,—,—,0,—
2026-06-05,Evan Sisk,Pittsburgh Pirates,Atlanta Braves,1.1,3,—,—,—,0,—
2026-06-05,Tyler Phillips,Miami Marlins,Tampa Bay Rays,4.2,3,—,—,—,0,—
2026-06-05,Cam Booser,Tampa Bay Rays,Miami Marlins,1.0,3,—,—,—,0,—
2026-06-05,Craig Yoho,Milwaukee Brewers,Colorado Rockies,2.0,3,—,—,—,0,—
2026-06-05,Jacob Latz,Texas Rangers,Cleveland Guardians,2.0,3,—,—,—,0,—
2026-06-05,Christian Scott,New York Mets,San Diego Padres,5.2,3,5.5,+106,-141,49,Under Hit
2026-06-05,Edgardo Henriquez,Los Angeles Dodgers,Los Angeles Angels,1.0,3,—,—,—,0,—
